Country/Region,Province,Date,Type,Reference
China,Hebei,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Heilongjiang,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Henan,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hong Kong,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hong_Kong
China,Hubei,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Hunan,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Inner Mongolia,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jiangsu,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jiangxi,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Jilin,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Liaoning,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Macau,2020-01-26,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Macau
China,Ningxia,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Qinghai,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shaanxi,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shandong,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shanghai,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Shanxi,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Sichuan,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Tianjin,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Tibet,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Xinjiang,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Yunnan,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,Zhejiang,2020-01-23,Full,https://en.wikipedia.org/wiki/2020_Hubei_lockdowns
China,,2020-01-23,Full,
Colombia,,2020-03-25,Full,https://www.theguardian.com/world/2020/mar/23/colombian-groups-exploiting-coronavirus-lockdown-to-kill-activists
Congo (Brazzaville),,,None,
Congo (Kinshasa),,2020-03-19,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Democratic_Republic_of_the_Congo
Costa Rica,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Costa_Rica
Cote dIvoire,,2020-03-29,Full,
Croatia,,2020-03-22,Partial,https://www.wfmz.com/news/croatia-quake-injures-amid-partial-coronavirus-lockdown/image_45bd4c4f-1ed0-5361-b5ca-d9d228fc5e5f.html
Cuba,,,None,
Cyprus,,2020-03-25,Full,https://www.reuters.com/article/us-health-coronavirus-cyprus-lockdown/cyprus-announces-lockdown-on-coronavirus-until-april-13-idUSKBN21A3C8
Czechia,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Czech_Republic
Denmark,Faroe Islands,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Faroe_Islands
Denmark,,2020-03-11,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#many-countries-have-also-closed-borders-to-prevent-international-travelers-from-spreading-the-virus-29
Diamond Princess,,,None,
Djibouti,,,None,
Dominica,,,None,
Dominican Republic,,2020-03-17,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Dominican_Republic
Ecuador,,2020-03-24,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ecuador
Egypt,,2020-03-24,Full,https://www.thenational.ae/world/mena/curfew-crash-kills-18-as-egypt-enters-lockdown-1.997575
El Salvador,,2020-03-11,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_El_Salvador
Equatorial Guinea,,,None,
Eritrea,,,None,
Estonia,,2020-03-13,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia
Eswatini,,,None,
Ethiopia,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ethiopia
Fiji,,2020-03-20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Fiji
Finland,,2020-03-27,Full,http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html
France,French Guiana,,None,
France,French Polynesia,2020-03-27,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_French_Polynesia
France,Guadeloupe,,None,
France,Martinique,2020-03-20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Martinique
France,Mayotte,,None,
France,New Caledonia,,None,
France,Reunion,,None,
France,Saint Barthelemy,,None,
France,St Martin,,None,
France,,2020-03-16,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#spain-became-the-second-european-country-to-impose-a-nationwide-quarantine-on-march-14-on-thursday-the-lockdown-was-extended-to-at-least-april-12-21
Gabon,,,None,
Gambia,,2020-03-27,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia
Georgia,,2020-03-22,Partial,https://www.garda.com/crisis24/news-alerts/325581/georgia-government-places-two-cities-on-lockdown-march-22-update-6
Germany,,2020-03-20,Full,https://www.politico.eu/article/german-state-of-bavaria-heads-for-full-coronavirus-lockdown/
Ghana,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana
Greece,,2020-03-18,Full,https://www.tornosnews.gr/en/greek-news/society/39369-greece-in-total-lockdown-from-wednesday-due-to-coronavirus-outbreak.html
Greenland,,,None,
Grenada,,,None,
Guatemala,,,None,
Guinea,,,None,
Guinea-Bissau,,,None,
Guyana,,,None,
Haiti,,,None,
Honduras,,2020-03-20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Honduras
Hungary,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hungary
Iceland,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
India,,2020-03-24,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Indonesia,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Iran,,2020-03-15,Full,https://www.dailymail.co.uk/news/article-8109981/Iran-imposes-nationwide-lockdown-24-hours-citizen-checked-coronavirus.html
Iraq,,2020-03-22,Full,https://www.middleeasteye.net/news/coronavirus-iraq-impose-total-lockdown-until-28-march
Ireland,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland
Israel,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel
Italy,,2020-03-11,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Jamaica,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jamaica
Japan,,2020-02-27,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan
Jersey,,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey
Jordan,,2020-03-21,Full,https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html
Kazakhstan,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan
Kenya,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya
Korea South,,2020-02-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea
Kosovo,,2020-03-25,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo
Kuwait,,2020-03-16,Partial,https://www.cosmopolitanme.com/travel/kuwait-shutdown-due-to-coronavirus
Kyrgyzstan,,2020-03-24,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan
Laos,,,None,
Latvia,,2020-03-13,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia
Lebanon,,2020-03-16,Full,https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069
Liberia,,,None,
Libya,,,None,
Liechtenstein,,2020-03-20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein
Lithuania,,2020-03-16,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/
Luxembourg,,2020-03-16,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown
Madagascar,,2020-03-17,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar
Malaysia,,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia
Maldives,,2020-03-11,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives
Mali,,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali
Malta,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta
Mauritania,,,None,
Mauritius,,2020-03-17,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius
Mexico,,2020-03-14,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
Moldova,,2020-03-11,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova
Monaco,,2020-03-17,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
Mongolia,,2020-03-10,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia
Montenegro,,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro
Morocco,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco
Mozambique,,,None,
MS Zaandam,,,None,
Namibia,,2020-03-14,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia
Nepal,,2020-03-24,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html
Netherlands,Aruba,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba
Netherlands,,2020-03-24,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en
Netherlands,Curacao,,None,
Netherlands,Sint Maarten,,None,
New Zealand,,2020-03-25,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown
Nicaragua,,,None,
Niger,,,None,
Nigeria,,2020-03-25,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL
North Macedonia,,2020-03-18,Full,https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/
Norway,,2020-03-12,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
Oman,,2020-03-29,Partial,https://www.omanobserver.om/oman-to-suspend-all-domestic-and-international-flights-from-sunday612586-2/
Pakistan,,2020-03-26,Full,https://sourcingjournal.com/topics/sourcing/pakistan-coronavirus-lockdown-garment-factories-closed-synergies-worldwide-levis-202444/
Palestine,,2020-03-05,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_State_of_Palestine
Panama,,2020-03-25,Full,https://news.yahoo.com/panama-orders-lockdown-paraguay-closes-borders-072748034.html
Papua New Guinea,,,None,
Paraguay,,2020-03-15,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Paraguay
Peru,,2020-03-10,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru
Philippines,,2020-03-16,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Philippines
Poland,,2020-03-12,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
Portugal,,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Portugal
Qatar,,2020-03-11,Full,https://www.theguardian.com/global-development/2020/mar/20/covid-19-lockdown-turns-qatars-largest-migrant-camp-into-virtual-prison
Romania,,2020-03-25,Full,https://www.garda.com/crisis24/news-alerts/326626/romania-government-announces-lockdown-measures-on-march-25-update-2
Russia,,2020-03-27,Full,https://www.independent.co.uk/news/world/europe/coronavirus-russia-lockdown-putin-cases-latest-a9429601.html
Rwanda,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Rwanda
Saint Kitts and Nevis,,,None,
Saint Lucia,,2020-03-20,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saint_Lucia
Saint Vincent and the Grenadines,,,None,
San Marino,,2020-03-09,Full,https://en.wikipedia.org/wiki/2020_Italy_coronavirus_lockdown
Saudi Arabia,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Saudi_Arabia
Senegal,,2020-03-24,Partial,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Serbia,,2020-03-15,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Serbia
Seychelles,,,None,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Seychelles
Sierra Leone,,,None,
Singapore,,2020-03-26,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Singapore
Slovakia,,2020-03-09,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovakia
Slovenia,,2020-03-11,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia
Somalia,,2020-03-19,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Somalia
South Africa,,2020-03-26,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Spain,,2020-03-14,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Sri Lanka,,2020-03-21,Full,https://www.deccanherald.com/international/china-offers-to-build-makeshift-covid-19-hospitals-in-india-818718.html
Sudan,,,None,
Suriname,,,None,
Sweden,,,None,
Switzerland,,2020-03-18,Full,https://www.cnnmoney.ch/shows/big-picture/videos/switzerland-desperate-race-stay-ahead-coronavirus
Syria,,2020-03-14,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Syria
Taiwan*,,2020-02-02,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Taiwan
Tanzania,,,None,
Thailand,,2020-03-22,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Thailand
Timor-Leste,,,None,
Togo,,2020-03-20,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Togo
Trinidad and Tobago,,2020-03-13,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Trinidad_and_Tobago
Tunisia,,2020-03-20,Full,https://www.france24.com/en/20200320-tunisia-orders-general-lockdown-in-bid-to-contain-coronavirus
Turkey,,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Turkey
Uganda,,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uganda
Ukraine,,2020-03-17,Full,https://www.ukrinform.net/rubric-society/2899162-ten-facts-about-coronavirus-lockdown-in-ukraine.html
United Arab Emirates,,2020-03-24,Full,https://uk.reuters.com/article/uk-health-coronavirus-saudi/saudi-reports-first-coronavirus-death-uae-gears-up-for-lockdown-idUKKBN21B1YM
United Kingdom,Anguilla,2020-03-18,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Anguilla
United Kingdom,Bermuda,,None,
United Kingdom,British Virgin Islands,,None,
United Kingdom,Cayman Islands,,None,
United Kingdom,Channel Islands,,None,
United Kingdom,Gibraltar,2020-03-24,Full,https://www.theolivepress.es/spain-news/2020/03/22/full-lockdown-in-gibraltar-from-tuesday-morning-as-coronavirus-spikes/
United Kingdom,Isle of Man,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Isle_of_Man
United Kingdom,Montserrat,,None,
United Kingdom,Turks and Caicos Islands,2020-03-27,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Turks_and_Caicos_Islands
United Kingdom,,2020-03-23,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
Uruguay,,2020-03-16,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Uruguay
US,Alabama,2020-04-04,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Alaska,2020-03-28,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arizona,2020-03-31,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Arkansas,,None,
US,California,2020-03-19,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Colorado,2020-03-26,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Connecticut,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Delaware,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,District of Columbia,,None,
US,Florida,2020-04-02,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Georgia,,None,
US,Guam,2020-03-26,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Guam
US,Hawaii,2020-03-25,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Idaho,2020-03-25,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Illinois,2020-03-21,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Indiana,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Iowa,,None,
US,Kansas,2020-03-30,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Kentucky,2020-03-26,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Louisiana,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maine,2020-04-02,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Maryland,2020-03-30,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Massachusetts,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Michigan,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Minnesota,2020-03-27,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Mississippi,2020-04-03,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Missouri,2020-04-06,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Montana,2020-03-28,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Nebraska,,None,
US,Nevada,2020-04-02,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Hampshire,2020-03-27,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Jersey,2020-03-21,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New Mexico,2020-03-24,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,New York,2020-03-22,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Carolina,2020-03-30,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,North Dakota,,None,
US,Ohio,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Oklahoma,,None,
US,Oregon,2020-03-23,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Pennsylvania,2020-04-02,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,Puerto Rico,2020-03-13,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Puerto_Rico
US,Rhode Island,2020-03-28,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States
US,South Carolina,,None,
US,South Dakota,,None,
